mode,n,seed,nodes,processes,elapsed_sec,label,c00,c0n,cn0,cnn,checksum
parallel,3000,42,1,1,702.328041492,"nodes=1-tasks=1-run=1",761.944762419156746,749.373135218255243,746.504566928480585,748.433823443028814,6749729449.415625572204590
parallel,3000,42,1,1,702.941771190,"nodes=1-tasks=1-run=1",761.944762419156746,749.373135218255243,746.504566928480585,748.433823443028814,6749729449.415625572204590
